Company Name,City,Search Term,Phone,Address,Years in Business,Owner,Website
"EPS Tree Care","Boise, ID","tree service","(208) 870-1843","Meridian, ID 83646","18","Mr. Trent Nieffenegger, Owner",""
"NaturalTree Service","Boise, ID","tree service","(208) 642-2820","Payette, ID 83661","24","Mr. Gary Needs, Operator",""
"Eagle Tree & Shrub","Boise, ID","tree service","(208) 939-0919","Eagle, ID 83616-9117","16","Ms. Amy Wakagawa, Owner","https://www.eagletreeandshrub.com/"
"Tree Maintenance","Boise, ID","tree service","(208) 695-4026","New Plymouth, ID 83655-5270","19","Mr. Jeff Bayes, Owner",""
"AB 3 Tree Service LLC","Boise, ID","tree service","(541) 403-2615","Richland, OR 97870-6607","12","Mr. Samuel Akers, President",""
"Heartwood Tree Care LLC","Boise, ID","tree service","(208) 965-6174","","11","Mr. Daniel Hess, Owner","https://www.heartwood-treecare.com/"
"A Cut Above Tree Service","Boise, ID","tree service","(541) 519-3313","Baker City, OR 97814","28","Mr. Garrett Nelson, President","https://acutabove-treeservice.com/"
"Local Lawn & Tree Spraying Service","Boise, ID","tree service","(208) 735-0555","Twin Falls, ID 83303-2656","21","Mr. Louis Lopez, Owner",""
"Miller's Tree Service","Boise, ID","tree service","(541) 786-1602","","34","Dale K. Miller, Owner",""
"Jim's Tree Landscape Service","Boise, ID","tree service","(208) 431-3253","Burley, ID 83318","52","Mr. Jim Holland, President",""
"All Around Tree Service, LLC","Boise, ID","tree service","(208) 731-7726","Filer, ID 83328","17","Mr. Steve Snyder, Owner",""
"Tom and Jerry's Tree Service","Boise, ID","tree service","(208) 808-8733","Heyburn, ID 83336","18","Mr. Jered Wells",""
"Topping Trees LLC","Boise, ID","tree service","(208) 412-3825","","13","Mr. James Topping, Owner",""
"Zing LLC","Boise, ID","tree service","(208) 585-9400","Middleton, ID 83644","16","Mr. Jed Wyatt, Managing Member","https://www.zingidaho.com/"
"New Hope Services, LLC","Boise, ID","tree service","(800) 398-6867","Weiser, ID 83672","18","Mrs. Barbara Perez, Owner",""
"Parker Tree Services Inc","Boise, ID","tree service","(541) 963-8201","Summerville, OR 97876-8127","87","Mr. Grant Parker, President","https://parkertreeservices.com/"
"Tree Trouble?","Boise, ID","tree service","(208) 432-2221","Burley, ID 83318-5053","14","Mr. Scott Yates, Owner/Operator","https://www.minicassiatreetrouble.com/"
"G & G Landscaping Services, Inc","Boise, ID","tree service","(208) 788-1708","","17","Mr. Jose M Guerrero, Owner","https://gglandscapingservices.com/"
"Lawn Pro of Boise LLC","Boise, ID","tree service","(208) 602-7317","Garden City, ID 83714","18","Mr. Ryan A Spolar, Owner/Member",""
"Taylor Lawn Care & Maintenance","Boise, ID","tree service","(208) 850-1300","Garden City, ID 83714-1128","22","Mr. Larry Taylor, Owner",""
"Weed Man Lawn Care","Boise, ID","tree service","(208) 888-9911","Meridian, ID 83642-5946","20","Andy Kurth, Owner","https://boise.weedmanusa.com/"
"Qualitree Inc.","Boise, ID","tree service","(208) 467-6175","Nampa, ID 83687","40","Mr. Jon Wakelam, Owner","https://www.qualitreeidaho.com/"
"Estate Lawn Care","Boise, ID","tree service","(208) 336-0403","","28","Mr. Jay Armstrong, Owner",""
"Lucky Lawns LLC","Boise, ID","tree service","(208) 322-7777","Meridian, ID 83646","18","Mr. Jeff Simpson, Owner","https://www.luckylawncare.com/"
"Diamond Lawns LLC","Boise, ID","tree service","(208) 484-5568","Meridian, ID 83642","18","Mr. Nick Gifford, Owner","https://www.diamondlawns.com/"
"Green Valley Towing / Idaho Landscape & Lawn Care","Boise, ID","tree service","(208) 860-0979","Middleton, ID 83644","43","Mr. Jeff Richlin, Owner/President",""
"Rick Bale Pruning Yardscape","Boise, ID","tree service","(208) 629-6452","Nampa, ID 83687-8918","18","Mr. Rick Bale, Owner",""
"Bare Foot Lawns, LLC","Boise, ID","tree service","(208) 323-8002","Nampa, ID 83687-5119","27","Mr. Jeremiah Long, Owner","https://www.barefootlawnsusa.com/"
"Trinity Lawn and Landscape","Boise, ID","tree service","(208) 899-4145","Nampa, ID 83653-0111","18","Mr. Josh Doughty, Owner","https://www.trinitylawn.net/"
"Blue Ribbon Landscape & Maintenance, Inc.","Boise, ID","tree service","(208) 466-5656","","26","Mr. Hans Ellis, President","https://www.blueribbonlandscapes.com/"
"Majestic Landscape Company","Boise, ID","tree service","(208) 989-4245","Nampa, ID 83653","25","Mr. Bill Taylor, Owner","https://www.majesticlandscapecompany.com/"
"Sinclair Brothers LLC","Boise, ID","tree service","(541) 426-7042","Enterprise, OR 97828-0513","14","Mr. Eric Sinclair, Member","https://wallowacountytrees.com/"
"Impressive Trimming and Firewood LLC","Boise, ID","tree service","(208) 761-8067","Caldwell, ID 83606-1357","14","Mr. Roger C Gordon, Managing Member",""
"Clean Cut Lawn Care","Boise, ID","tree service","(208) 571-5032","Nampa, ID 83651","11","Mr. Isaac Chavez, Owner",""
"C and S Concrete","Boise, ID","tree service","(208) 320-0734","Wendell, ID 83355-5315","14","Mr. Sheridan Pearson, Owner",""
