Company Name,Phone,Address,Years in Business,Owner,Website,Search Term,City,Timestamp
"As You Wish Landscaping & Handyman","(208) 407-5998","Boise, ID 83705","13","Mr. Tyson McCoy, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Earthcare Inc.","(208) 401-5357","Boise, ID 83703","34","Mr. Roger Anderegg, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"LuckE13 Landscape Services Corporation","(208) 562-8813","","13","Mr. Mike Kyle, President/COO","https://www.lucke13landscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Prestige Lawn Care, LLC","(208) 908-1559","Boise, ID 83713","18","Ms. Chelsey Wornell, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Safari Lawn Care, LLC","(208) 562-1500","","28","Mr. Jeff Mower, Owner","https://www.safarilawncareboise.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"All Lawns, LLC","(208) 336-1595","Boise, ID 83709","23","Mr. Kevin Gilbert, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Your Lawn Maintenance","(208) 283-5441","Boise, ID 83705-2127","21","Mr. Eric Tweedie, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Transformco","(847) 286-2500","Boise, ID 83704","138","Mr. Steven Ward, Manager of Sales and Service","https://www.searshomeservices.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Millers Lawn Mowing and Maintenance","(208) 906-0381","Boise, ID 83714-0692","17","Ms. Jill Miller, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"A Tree Company LLC","(208) 880-3413","","19","Mr. Erik L Burkholder, Owner","https://www.atreecompanyboise.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"LuckE13 Landscape Services Corporation","(208) 562-8813","","13","Mr. Mike Kyle, President/COO","https://www.lucke13landscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Stark Sprinkler & Landscape","(208) 484-2769","Boise, ID 83709-2884","24","Mr. Michael Stark, Owner","https://www.starklandscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Cutting Edge Landscape","(208) 378-4588","Boise, ID 83714-6054","29","Mr. Bob Wheeler, Member","https://www.cuttingedgelandscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Nature's Elite","(208) 340-0820","Boise, ID 83711","14","Mr. Nick Fleming, Owner","https://www.natureselitelandscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Van Shaw Enterprises LLC","(208) 918-6562","Boise, ID 83707-3346","21","Mr. Van Shaw Jr., Member","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Grass Monkey","(208) 853-5134","","23","Mr. Jeremy Campanella, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Iron Stone Cleaning, LLC.","(208) 859-1302","Boise, ID 83705","23","Ms. Nancy McNabb, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Senske Services","(877) 944-4007","Boise, ID 83709-0537","78","Mr. Christopher Senske, President","https://senske.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Prestige Lawn Care, LLC","(208) 908-1559","Boise, ID 83713","18","Ms. Chelsey Wornell, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Idaho Landscape Solutions, LLC.","(208) 513-6104","Boise, ID 83707","14","Mr. Sam Johnson, Owner","https://www.idaholandscapesolutions.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"A To Z Sprinklers & Landscaping","(208) 658-8080","Boise, ID 83704-6711","38","Mr. Ken Cumpton, President","https://www.atozsprinklers.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"A Shade Greener Lawn Maintenance","(208) 860-7114","Boise, ID 83713-5121","22","Mr. John Stoeger, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"D & B Professional","(208) 283-7820","Boise, ID 83709","19","Mr. Dallas Reynolds, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Emerald Lawns, Inc.","(208) 322-4700","Boise, ID 83709","37","Mr. Dave Adams, Owner","https://www.emeraldlawnsidaho.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Ron's Service & Maintenance","(208) 515-9612","Boise, ID 83704-2824","11","Mr. Ron V Salisbury, Owner/Operator","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Evolution Landscape & Nursery, Inc.","(208) 463-8733","Boise, ID 83709","16","Mr. Mike Baker, Owner","https://www.evolutionlandscapeandnursery.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Family Landscape, Inc.","(208) 378-9893","Boise, ID 83709","25","Mr. Steve Gervais, President","https://www.familylandscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Fischer Landscaping and Maintenance","(208) 562-8737","Boise, ID 83709","21","Mr. Fred Fischer, Owner","https://www.fischerlandscapinginc.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"AJ's Tree Preservation","(208) 336-6036","Boise, ID 83719-0507","26","Mr. Arturo Lopez, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Tilden Construction and Landscaping, LLC","(208) 634-6625","Boise, ID 83709-8115","13","Mr. Alex Tilden, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Skye Landscaping, LLC.","(208) 871-3644","Boise, ID 83719","17","Mr. Ryan Niecko, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Fischer Landscaping and Maintenance","(208) 562-8737","Boise, ID 83709","21","Mr. Fred Fischer, Owner","https://www.fischerlandscapinginc.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Steve's Yard Maintenance","(208) 447-7245","Boise, ID 83709-5711","21","Mr. Steve Reddig, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Greenview Landscaping, LLC","(208) 412-5619","","15","Mr. Joel Voloshen, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Green Services","(208) 939-7378","Boise, ID 83714-6077","18","Mr. Jamin Martin, President","https://www.mygreenservices.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Lawnfather","(208) 562-8388","","23","Mr. Tony Shewmaker, Owner","https://lawnfather.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Oasis Contractors, Inc.","(208) 323-1223","Boise, ID 83709-5380","19","Ms. Teri Green, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Tilden Construction and Landscaping, LLC","(208) 634-6625","Boise, ID 83709-8115","13","Mr. Alex Tilden, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"All Pro Lawn Service LLC","(208) 869-2999","Boise, ID 83713-2025","17","Mr. Ryan Pollard, Owner","https://www.allprolawnservice.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Stonecrest Landscape, Inc.","(208) 371-6762","Boise, ID 83714-3638","32","Mr. Brian Strand, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Family Landscape, Inc.","(208) 378-9893","Boise, ID 83709","25","Mr. Steve Gervais, President","https://www.familylandscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"TLC Landscape","(208) 859-9955","Boise, ID 83714","25","Mr. Todd Waggoner, Owner","https://www.tlcscape.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Aloha Gardening, Inc.","(208) 322-9069","Boise, ID 83713","22","Mr. Steve Spiteri, Owner","https://www.alohagardening.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"MowJoe","(208) 830-6660","Boise, ID 83709","19","Mr. Joseph Doyle, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Summer Lawns, Inc.","(208) 991-0365","Boise, ID 83714-9685","46","Mr. Juan Morales, President","https://www.summerlawns.com/index.html","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Conner Tree Service","(208) 412-6695","","14","Mr. Sean Conner, Managing Member","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Sawtooth Landscape & Tree Service LLC","(208) 871-1507","","15","Mr. David Graham, Owner","https://sawtoothboise.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Greenview Landscaping, LLC","(208) 412-5619","","15","Mr. Joel Voloshen, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Taylor Lawn Care & Maintenance","(208) 850-1300","Garden City, ID 83714-1128","22","Mr. Larry Taylor, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Estate Lawn Care","(208) 336-0403","","28","Mr. Jay Armstrong, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Weed Man Lawn Care","(208) 888-9911","Meridian, ID 83642-5946","20","Andy Kurth, Owner","https://boise.weedmanusa.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Bright Concepts Lawn Care","(208) 860-1540","","17","Mr. Tyler Robb, Owner","https://brightconceptslawncare.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Weed Man Lawn Care","(208) 888-9911","Meridian, ID 83642-5946","20","Andy Kurth, Owner","https://boise.weedmanusa.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Eco-Care, LLC","(208) 321-8194","Garden City, ID 83714","30","Mr. Jim Bonner, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"All About Lawn Care","(208) 392-0165","Meridian, ID 83642","15","Mr. Nick Schuler, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Lawn Care Services, LLC","(208) 371-1344","","18","Mr. Kurt Hartley, Owner","https://www.tvlawn.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Western Lawn Care, Inc.","(208) 908-2222","Meridian, ID 83642-3053","13","Mr. Lane Ranstrom, Owner","https://www.westernlawncare.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Felipe's Lawn Care, LLC","(208) 954-6522","","10","Mr. Felipe Rodriguez, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"MAS Lawn Care, LLC","(208) 288-0478","Meridian, ID 83646-5644","12","Mr. Alan Boyd McCurdy","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Happy Valley Lawn Care","(208) 615-3143","","10","Mr. Emiliano Duran Ornelas, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Advanced Lawn Care Systems, LLC.","(208) 602-9008","Eagle, ID 83616-9104","23","Mr. Kirk Wright, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Lasher Lawn Care and Landscape LLC","(208) 860-0818","Nampa, ID 83653-3720","14","Mr. Brandon Lasher, Managing Member","https://www.facebook.com/Lasherlawnco/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Ficarella's Lawn Care","(208) 459-1256","","19","Mr. Dan Ficarella, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Woodland Lawn care Maintenance","(208) 250-5138","Nampa, ID 83651","13","JUAN ORTEGA, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Clean Cut Lawn Care","(208) 571-5032","Nampa, ID 83651","11","Mr. Isaac Chavez, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Green Valley Towing / Idaho Landscape & Lawn Care","(208) 860-0979","Middleton, ID 83644","43","Mr. Jeff Richlin, Owner/President","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Abel's Landscape and Lawn Care","(208) 919-2863","Caldwell, ID 83607","11","Mr. Abel Cedillo, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Green Bee Lawn Care and Services","(208) 405-1958","","16","Mr. Salvador Macias, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Brett's Lawn Care, Inc.","(208) 463-0271","Nampa, ID 83651","26","Mr. Brett Klinchuch, President","https://www.brettslawncareinc.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Brett's Lawn Care, Inc.","(208) 463-0271","Nampa, ID 83651","26","Mr. Brett Klinchuch, President","https://www.brettslawncareinc.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"De Los Santos Lawn Care","(208) 880-5120","Caldwell, ID 83605","23","Mr. Juan De Los Santos, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"O&A Lawn Care And Landscape LLC","(208) 899-7095","Caldwell, ID 83605","15","Mr. Omar Arredondo, Owner","https://oandalawncareandlandscapellc.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Guardian Lawn Care","(208) 642-4643","Payette, ID 83661","22","Mr. Ross Barton, Director","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Lawn Pro of Boise LLC","(208) 602-7317","Garden City, ID 83714","18","Mr. Ryan A Spolar, Owner/Member","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"RDH Services","(208) 353-3313","Nampa, ID 83686","16","Mr. Rob Herzog, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"4 Seasons Lawn & Pest LLC","(208) 994-5678","Meridian, ID 83642","10","Mr. Larry Gaythwaite, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Zing LLC","(208) 585-9400","Middleton, ID 83644","16","Mr. Jed Wyatt, Managing Member","https://www.zingidaho.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Zing LLC","(208) 585-9400","Middleton, ID 83644-5543","16","Mr. Jed Wyatt, Managing Member","https://www.zingidaho.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Trinity Lawn and Landscape","(208) 899-4145","Nampa, ID 83653-0111","18","Mr. Josh Doughty, Owner","https://www.trinitylawn.net/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Trautman Lawn & Landscape Company","(208) 466-0690","Nampa, ID 83687-8148","37","Mrs. Jennifer D Trautman, Co- Owner","https://trautmanlawn.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Tom's Lawn Service","(208) 631-5423","Nampa, ID 83686-5210","19","Mr. Tom Craig, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Turf Surfer Lawn Company","(208) 412-6563","Caldwell, ID 83605-7950","22","Mr. Matt Weiser, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"The Lawn Manicurist Company","(208) 344-2956","Nampa, ID 83687","23","","https://www.lawnmanicurist.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Swords Lawn Care","(541) 379-5852","Baker City, OR 97814-0547","15","Daniel Sword, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"ForeverLawn Mountain West","(208) 890-1867","Garden City, ID 83714","21","Mr. Bill Lish, Owner","https://www.foreverlawn.com/","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Streamline Lawn Care LLC","(208) 423-8211","","11","Mr. Isaiah M Hanson, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Mowmeister Lawn Service","(208) 453-1477","","28","Mr. Dave Zable, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Hanks Custom Lawn Care","(208) 316-4100","Twin Falls, ID 83303-5878","15","Mr. Brad Hanks, Owner","https://hankscustomlawncare.com/contact-hanks-custom-lawn-care-twin-falls-id.htm","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Turf Surfer Lawn Company","(208) 412-6563","Caldwell, ID 83605-7950","22","Mr. Matt Weiser, Owner","","lawn care","Boise, ID","2025-04-05T20:30:02.234Z"
"Boise City Canal Company","(208) 387-3526","Boise, ID 83702-5173","155","Mr. Alan Winkle, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Rockrose Irrigation","(208) 867-1494","Boise, ID 83716","19","Mr. Kyle Branscombe, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Absolute Irrigation Maiintenance Inc","(208) 658-1483","","27","Mr. Robert Kovaleski, president","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Forever Green (The Organic Difference)","(208) 344-8300","Boise, ID 83714-6408","27","Mr. Brian Pooley, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Landscape Technologies LLC","(208) 559-5013","","16","Mr. Randy Sohn Jr., Owner","https://www.landscapetechidaho.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Bee Boise's Best Underground","(208) 949-3254","Boise, ID 83703-4805","16","Mr. Buzz Baker, Owner","https://www.boisewatersewer.com/Sites/US/ID/Eagle/BeeBoisesBestUnderground-78648/Web/Home.htm","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Green Lawn Care and Landscape, Inc","(208) 376-4967","","40","Ms. Sarah Soto-Rodriguez, Office Manager","https://www.greenlawncareinc.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gingerich Site & Underground, Inc.","(208) 853-2115","","19","Mr. Travis Gingerich, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gingerich Site & Underground, Inc.","(208) 853-2115","","19","Mr. Travis Gingerich, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Western Irrigation Inc.","(208) 631-0438","Caldwell, ID 83607-8477","26","Mr. Monte Brown, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Pioneer Irrigation District","(208) 459-3617","Caldwell, ID 83606","124","Mark Zirschky, Superintendent","https://www.pioneerirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Down Under Irrigation & Turf, Inc.","(208) 467-7111","Nampa, ID 83686","30","Mr. Harold King, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Mesa Park Irrigation Company","(208) 452-3542","Fruitland, ID 83619-0702","47","Mr. Ted Pettet, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Warrington Irrigation, Inc.","(541) 889-9063","Ontario, OR 97914-1108","26","Mr. Richard Warrington, President","https://www.warringtonirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Rainy Day, Inc.","(208) 407-5123","Caldwell, ID 83607-7724","30","Mr. Ronald Schaffeld, Owner","https://www.landscaperboise.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Don's Irrigation LLC","(208) 644-9206","Jerome, ID 83338","29","Mr. Don Ford, Member","https://donsirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"A & G Irrigation Inc","(208) 324-9551","Jerome, ID 83338-5666","26","Mr. Max Auker, President","https://www.aandgirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Irrigation Pipe","(208) 554-3152","Moore, ID 83255","17","Mr. Leon Powell","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Irrigation Center","(208) 527-3075","Arco, ID 83213","41","Terrel Kidd, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Irrigation Center","(208) 527-3075","Arco, ID 83213","41","Terrel Kidd, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gene's Repair & Irrigation","(208) 678-5716","Burley, ID 83318-5216","45","Gene Jensen, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Clearwater Pump & Irrigation LLC","(541) 573-1260","Burns, OR 97720-2309","18","Mr. Matt Nonnenmacher, Member","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Magic Valley Irrigation Supply","(208) 678-3101","Burley, ID 83318-5687","17","Mr. Jeff Roberts, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Butte Irrigation, Inc.","(208) 438-8103","Paul, ID 83347-8839","49","Mr. Kade Beck, Owner","https://butteirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Harney Pump & Irrigation LLC","(541) 573-2400","Burns, OR 97720-9410","21","Mr. Tod Vanderdasson, Member","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Clearwater Pump & Irrigation LLC","(541) 573-1260","Burns, OR 97720-2309","18","Mr. Matt Nonnenmacher, Member","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Butte Irrigation, Inc.","(208) 438-8103","Paul, ID 83347-8839","49","Mr. Kade Beck, Owner","https://butteirrigation.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"CJ Martin Construction LLC","(208) 866-7122","Nampa, ID 83686-9434","18","Mr. Curtis Martin, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Green City Landscape, Inc.","(208) 344-2244","Nampa, ID 83687","30","Mr. Pat Hurley, Owner","https://www.greencitylandscapeinc.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Interwest Supply","(208) 453-9155","Caldwell, ID 83607","32","Ms. Maggie Irish","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"ProVision Landscape","(208) 888-5497","","29","Mr. Eric Toney, CEO","https://www.pvlidaho.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Evergreen Sprinkler Co. Inc.","(208) 342-1771","Garden City, ID 83714-6612","68","Mr. Nick Ragsdale, President/Director","https://www.evergreensprinklersupply.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Sagehorn Landscaping","(208) 794-2770","Meridian, ID 83646","26","Mr. Mike Sagehorn, Owner","https://www.sagehornlandscaping.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"ProVision Landscape","(208) 888-5497","","29","Mr. Eric Toney, CEO","https://www.pvlidaho.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Pipeline Inspection Services, Inc.","(208) 465-3444","Nampa, ID 83687","21","Mr. Darin Barnes, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Pipeline Inspection Services, Inc.","(208) 465-3444","Nampa, ID 83687","21","Mr. Darin Barnes, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Bee Boise's Best Underground","(208) 949-3254","Boise, ID 83703-4805","16","Mr. Buzz Baker, Owner","https://www.boisewatersewer.com/Sites/US/ID/Eagle/BeeBoisesBestUnderground-78648/Web/Home.htm","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Landscape Technologies LLC","(208) 559-5013","","16","Mr. Randy Sohn Jr., Owner","https://www.landscapetechidaho.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"JTS Farmstore LLC","(208) 366-2538","Glenns Ferry, ID 83623-2749","26","Mrs. Lea Ann T Schrader, Member","https://www.jtsfarmstore.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Eden Sprinkler and Landscape Construction, LLC","(208) 459-3579","","26","Mr. Mark J Oller, Owner","https://edenlandscaping-asphalt.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Eden Sprinkler and Landscape Construction, LLC","(208) 459-3579","","26","Mr. Mark J Oller, Owner","https://edenlandscaping-asphalt.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Showalter Construction Company, Inc.","(208) 896-4536","","47","Ms. Sue D Showalter, Vice President","https://www.showalterconst.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Timberlake Construction, LLC","(208) 573-4397","","22","Mr. Louis S. Krall, Member","https://www.timberlakeconstructionllc.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"KT Landscaping Inc","(541) 786-5050","La Grande, OR 97850","21","Mr. Roger Kerry Tweit, President","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"J R Pivot Service","(208) 878-5777","Burley, ID 83318-1463","34","Mr. Jorge Rios, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Magic Valley Compost","(208) 324-4536","Jerome, ID 83338-5338","25","Mr. Ray Silene, Owner","https://www.magicvalleycompost.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Rain for Rent","(208) 438-5065","Paul, ID 83347","30","Mr. Brent Peterson, Principal","https://rainforrent.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Rain for Rent","(208) 438-5065","Paul, ID 83347","30","Mr. Brent Peterson, Principal","https://rainforrent.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Classic Landscape","(541) 523-7261","Baker City, OR 97814-2541","28","Mr. Donald Fink, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Kimberly Nurseries, Inc.","(208) 733-2717","Twin Falls, ID 83301","118","Mr. John Williams, General Manager","https://www.kimberlynurseries.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Jay R Nelson","(541) 589-3772","Burns, OR 97720-0572","14","Mr. Jay Nelson, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Jay R Nelson","(541) 589-3772","Burns, OR 97720-0572","14","Mr. Jay Nelson, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Steelhead Landscape, Inc.","(208) 324-3233","Jerome, ID 83338-6357","45","Mr. Rod Morgan, Owner","https://www.steelheadlandscape.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gem State Plumbing, Inc.","(208) 324-6571","","17","Mr. Vincent Newkirk, Owner","https://www.gemstateplumbinginc.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gem State Plumbing, Inc.","(208) 324-6571","","17","Mr. Vincent Newkirk, Owner","https://www.gemstateplumbinginc.com/","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Lawnscapes, LLC","(208) 733-9446","Twin Falls, ID 83301-5419","43","Mr. Craig Stringer, Owner","","irrigation","Boise, ID","2025-04-05T20:30:02.234Z"
"Gerhard Borbonus Landscaping,Inc.","(208) 362-0525","Boise, ID 83706","53","Mr. Gerhard Borbonus, Owner","https://www.gblandscaping.com/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Westcoast Tree Care Inc","(800) 767-8733","Boise, ID 83702-3924","26","Mr. James M Mosher, President","https://www.westcoast-tree.org/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Mountain West Arbor Care","(800) 767-8733","Boise, ID 83702-3924","12","Mr. Jim Mosher, Owner","https://www.westcoast-tree.org/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Idaho Tree Preservation, LLP","(208) 424-0037","Boise, ID 83706","22","Ms. Janet Davis, Owner","https://www.idahotreepreservation.com/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"D&D Lawn Services","(208) 713-6875","Boise, ID 83706","16","Mr. Larry Gonzales, Owner","","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Terry's Tree Service, Inc.","(208) 362-3354","Boise, ID 83709-5544","16","Ms. Amy Wakagawa, Owner","https://www.terrystreeserviceinc.com/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"MKM Tree Service","(208) 323-1056","","19","Mr. Michael Miller, Owner","https://www.facebook.com/pages/M-K-M-Tree-Service/156007637771431","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Forever Green (The Organic Difference)","(208) 344-8300","Boise, ID 83714-6408","27","Mr. Brian Pooley, President","","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Timberline Tree Service","(208) 377-5663","","17","Ms. Pam Kirschner, Owner","","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
"Treasure Valley Premier Services LLC","(208) 484-6365","Boise, ID 83706-6721","21","Mr. James Feehan, Owner","https://treasurevalleyservices.com/","tree service","Boise, ID","2025-04-05T20:30:02.234Z"
